D,S,Exact Match,Hierarchy
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Bamboo/Wholesale_and_Distribution
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Chitosan_Fiber
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Coir
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Cotton
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Cotton/Associations
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Cotton/Import_and_Export
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Flax
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Flax/Import_and_Export
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Hemp
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Import_and_Export
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Import_and_Export/Bast_Fibers
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Import_and_Export/Wool
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Kenaf
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Coir
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Coir
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Cotton
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Cotton
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Hemp
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Hemp
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Kenaf
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Kenaf
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Silk
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Silk
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Wool
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Articles_and_Studies/Wool
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Organizations
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Organizations
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Research
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Resources/Research
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Soybean_Protein
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Resources/History
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Resources/History/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Resources/History/On-Line_Books
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Geotechnical/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Geotechnical/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Geotechnical/Resources/Articles_and_Studies/Geosynthetic_Clay_Liners
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Geotechnical/Resources/Articles_and_Studies/Geotextiles
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Greige_Yarns/Natural
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Cotton
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Cotton/Open-end_Spun
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Cotton/Ring_Spun
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Jute
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Linen
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Silk
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Natural/Wool
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Air-jet_Spinning
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Core_Spinning
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Friction_Spinning
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Open-end_Spinning
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Ring_Spinning
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Splicing
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Articles_and_Studies/Texturing
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Industrial_Yarns_and_Sewing_Threads/Resources/Dictionaries
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources/Dictionaries
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources/History
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources/Portals
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Leather_and_Fur/Resources/Research
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Machinery_and_Equipment/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Machinery_and_Equipment/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Machinery_and_Equipment/Resources/History
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Nonwovens/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Nonwovens/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Nonwovens/Resources/Articles_and_Studies/Filtration
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Nonwovens/Resources/Articles_and_Studies/Medical_and_Hygiene
