D,S,Exact Match,Hierarchy
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Georgia
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Illinois
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Indiana
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Iowa
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Kentucky
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Louisiana
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Maine
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Maryland
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Michigan
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Minnesota
Gardening,Gardening,Yes,Home/Gardening/Organizations/Master_Gardeners/United_States/Missouri
